area,Red,Green,Blue
West Village,130,128,129
Flatiron,130,127,130
Chinatown,130,130,127
Chelsea,130,128,127
Midtown West,129,130,129
Financial District,130,130,129
Chelsea,130,128,128
East Village,130,129,128
Lower East Side,130,129,130
Midtown East,129,130,128
TriBeCa,130,130,128
Gramercy,130,127,128
Battery Park,130,130,130
SoHo,130,129,127
Little Italy,130,129,129
Hells Kitchen,129,130,130
NoHo,130,128,130
Upper West Side,129,130,127
Harlem,129,129,128
Union Square,130,127,129
Midtown East,130,127,127
Manhattan Valley,129,129,129
East Harlem,129,129,127
Washington Heights,129,128,130
